AlunoID,Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
5,DC/CCN032,COMPUTAÇÃO GRÁFICA,"10,0","10,0","10,0",,,,"10,0",2,AM
5,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"9,3","8,5","7,0",,,,"8,3",0,AM
5,DC/CCN034,PROGRAMAÇÃO LINEAR,"9,0","7,0","10,0",,,,"8,7",0,AM
5,DMAT/CCN034,ÁLGEBRA LINEAR,"7,8","5,5","6,5",,,"8,0","7,3",0,EF
5,DC/CCN039,ENGENHARIA DE SOFTWARE I,"7,4","9,0","3,5",,,"7,1","6,9",3,EF
5,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"6,7","8,5","6,7",,,,"7,3",2,AM
5,DC/CCN035,REDES DE COMPUTADORES,"5,1","6,8","6,0",,,"8,0","7,0",2,EF
5,DC/CCN033,SISTEMAS OPERACIONAIS,"6,9","2,3","8,4",,,"6,4","6,2",8,EF
5,DMAT/CCN034,ÁLGEBRA LINEAR,"5,2","0,0","3,5",,,,"2,9",0,RN
5,DC/CCN031,ARQUITETURA DE COMPUTADORES,"5,5","8,0","7,5",,,,"7,0",2,AM
5,DC/CCN025,BANCO DE DADOS,"9,5","10,0","9,0",,,,"9,5",0,AM
5,CLE/CCHL002,INGLÊS TÉCNICO E CIENTÍFICO,"10,0","9,8","10,0",,,,"9,9",2,AM
5,DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS,"10,0","10,0","9,5",,,,"9,8",0,AM
5,DC/CCN022,ESTRUTURAS DE DADOS,"9,0","8,9","9,0",,,,"9,0",0,AM
5,DC/CCN027,INTERFACE HUMANO COMPUTADOR,"10,0","9,2","9,6",,,,"9,6",0,AM
5,DC/CCN024,LABORATÓRIO DE PROGRAMAÇÃO,"7,7","6,8","8,8",,,,"7,8",0,AM
5,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"9,0","8,9","9,0",,,,"9,0",0,AM
5,DC/CCN023,PROGRAMAÇÃO ORIENTADA A OBJETOS,"6,0","6,0","4,0",,,"8,0","6,7",2,EF
5,DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"9,2","9,3","9,4",,,,"9,3",0,AM
5,DC/CCN029,CIRCUITOS DIGITAIS,"9,5","9,5","8,4",,,,"9,1",4,AM
5,DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
5,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"7,3","6,1","3,7",,,"6,8","6,3",0,EF
5,DC/CCN020,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,"10,0",,,,,,"10,0",0,AM
5,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"0,0","0,0","0,0",,,,"0,0",0,RN
5,DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"8,0","10,0","10,0",,,,"9,3",0,AM
5,DC/CCN021,INFORMÁTICA E SOCIEDADE,"9,0","9,0","9,0",,,,"9,0",0,AM
5,DC/CCN019,INTRODUÇÃO À LÓGICA,"10,0","9,5","9,8",,,,"9,8",0,AM
5,DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"10,0","8,0","10,0",,,,"9,3",0,AM
6,DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL,"8,6","10,0","9,5",,,,"9,4",2,AM
6,DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"9,5","9,2","9,0",,,,"9,2",2,AM
6,DC/CCN049,TRABALHO DE CONCLUSÃO DE CURSO II - TCC II,"9,0","8,5","9,0",,,,"8,8",0,AM
6,DC/CCN047,ESTÁGIO SUPERVISIONADO,"10,0","10,0","10,0","10,0","10,0",,"10,0",0,AM
6,DC/CCN057,REDES NEURAIS ARTIFICIAIS,"10,0","8,0","10,0",,,,"9,3",0,AM
6,DC/CCN046,TRABALHO DE CONCLUSÃO DE CURSO I - TCC I,"10,0","10,0","10,0",,,,"10,0",0,AM
6,DC/CCN042,COMPILADORES,"9,0","8,2","8,8",,,,"8,7",7,AM
6,DC/CCN055,FLUXOS EM REDES,"10,0","9,5","5,8",,,,"8,4",0,AM
6,DC/CCN058,SISTEMAS EMBARCADOS,"10,0","10,0","10,0",,,,"10,0",4,AM
6,DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"10,0","5,0","9,0",,,,"8,0",2,AM
6,DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES,"10,0","10,0","10,0",,,,"10,0",2,AM
6,DC/CCN045,BANCOS DE DADOS RELACIONAIS,"4,5","10,0","10,0",,,,"8,2",2,AM
6,DC/CCN044,ENGENHARIA DE SOFTWARE II,"9,4","8,1","7,4",,,,"8,3",0,AM
6,DC/CCN048,PROGRAMAÇÃO FUNCIONAL,"9,5","10,0","10,0",,,,"9,8",2,AM
6,DC/CCN081,VISÃO COMPUTACIONAL,"8,0","10,0","9,0",,,,"9,0",2,AM
6,DC/CCN032,COMPUTAÇÃO GRÁFICA,"8,1","9,9","10,0",,,,"9,3",6,AM
6,DC/CCN039,ENGENHARIA DE SOFTWARE I,"9,9","9,5","8,3",,,,"9,2",2,AM
6,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"8,3","5,0","9,3",,,,"7,5",2,AM
6,DC/CCN040,SEGURANÇA EM SISTEMAS,"8,2","6,2","8,6",,,,"7,7",4,AM
6,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"8,9","6,0","8,9",,,,"7,9",2,AM
6,DC/CCN030,TEORIA DA COMPUTAÇÃO,"9,1","4,9","7,4",,,,"7,1",4,AM
6,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"9,3","8,9","9,3",,,,"9,2",0,AM
6,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"9,2","7,6","6,8",,,,"7,9",0,AM
6,DC/CCN034,PROGRAMAÇÃO LINEAR,"9,0","5,0","10,0",,,,"8,0",0,AM
6,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"9,4","9,9","9,1",,,,"9,5",0,AM
6,DC/CCN035,REDES DE COMPUTADORES,"10,0","9,5","9,0",,,,"9,5",0,AM
6,DC/CCN033,SISTEMAS OPERACIONAIS,"8,9","8,2","8,6",,,,"8,6",0,AM
6,DMAT/CCN034,ÁLGEBRA LINEAR,"9,0","9,6","8,0",,,,"8,9",0,AM
6,DC/CCN031,ARQUITETURA DE COMPUTADORES,"8,5","8,5","10,0",,,,"9,0",0,AM
6,DC/CCN025,BANCO DE DADOS,"8,0","10,0","10,0",,,,"9,3",0,AM
6,DC/CCN027,INTERFACE HUMANO COMPUTADOR,"8,5","10,0","10,0",,,,"9,5",0,AM
6,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"8,0","8,2","7,7",,,,"8,0",0,AM
6,DMAT/CCN035,MATEMÁTICA DISCRETA,"7,0","7,0","8,0",,,,"7,3",0,AM
6,DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS,"10,0","10,0","8,5",,,,"9,5",0,AM
6,DC/CCN026,PROGRAMAÇÃO ESTRUTURADA,"9,0","9,2","9,6",,,,"9,3",0,AM
6,DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"7,6","7,0","10,0",,,,"8,2",0,AM
6,DC/CCN029,CIRCUITOS DIGITAIS,"10,0","9,5","9,4",,,,"9,6",0,AM
