AlunoID,Código,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
7,DC/CCN033,"9,0","10,0","10,0",,,,"9,7",10,AM
7,DC/CCN039,"7,0","10,0","8,3",,,,"8,4",12,AM
7,DC/CCN030,"3,3","5,3","0,5",,,,"3,0",6,RN
7,DC/CCN081,"5,8","9,8","9,4",,,,"8,3",2,AM
7,DC/CCN039,"6,5","4,0","3,7",,,"9,2","7,0",11,AM
7,DC/CCN036,"5,3","6,9","8,7",,,,"7,0",12,AM
7,DC/CCN030,"0,0","0,0","0,0",,,,"0,0",18,RF
7,DC/CCN037,"4,2","6,3","7,3",,,"9,7","7,8",8,AM
7,DC/CCN034,"5,0","7,5","6,4",,,"7,3","6,8",0,AM
7,DC/CCN035,"3,7","6,6","6,9",,,"9,7","7,7",2,AM
7,DC/CCN028,"8,0","5,0","9,5",,,,"7,5",0,AM
7,DMAT/CCN034,"4,0","4,0","5,0",,,"9,7","7,0",0,AM
7,DC/CCN031,"7,0","6,5","6,5",,,"0,9","3,8",0,RN
7,DC/CCN025,"10,0","9,0","9,0",,,,"9,3",0,AM
7,DC/CCN027,"9,0","9,0","9,6",,,,"9,2",0,AM
7,DC/CCN024,"8,2","8,5","5,5",,,,"7,4",0,AM
7,DMAT/CCN033,"9,0","9,2","9,4",,,,"9,2",0,AM
7,DC/CCN029,"9,6","6,6","10,0",,,,"8,7",0,AM
7,DC/CCN022,"7,5","6,5","8,0",,,,"7,3",6,AM
7,DC/CCN024,"7,5","5,8","4,0",,,"6,9","6,4",0,AM
7,DMAT/CCN035,"7,0","7,0","8,0",,,,"7,3",0,AM
7,DC/CCN023,"10,0","8,0","10,0",,,,"9,3",3,AM
7,DMAT/CCN032,"6,5","10,0","7,0",,,,"7,8",0,AM
7,DC/CCN021,"9,1","9,1","9,1",,,,"9,1",0,AM
7,CLE/CCHL002,"7,5","8,8","9,0",,,,"8,4",4,AM
7,DC/CCN019,"10,0","10,0","7,5",,,,"9,2",0,AM
7,DFIL/CCHL009,"9,0","8,0","9,0",,,,"8,7",0,AM
7,DC/CCN026,"3,7","2,5","8,0",,,"7,5","6,1",0,AM
7,DC/CCN020,"8,7",,,,,,"8,7",4,AM
8,DC/CCN048,"8,0","9,3","10,0",,,,"9,1",0,AM
8,DC/CCN081,"8,8","6,0","9,5",,,,"8,1",0,AM
8,DC/CCN042,"7,5","7,3","9,6",,,,"8,1",2,AM
8,DC/CCN043,"8,6","8,3","9,1",,,,"8,7",2,AM
8,DC/CCN037,"10,0","7,6","8,6",,,,"8,7",6,AM
8,DC/CCN058,"8,5","10,0","10,0",,,,"9,5",0,AM
8,DC/CCN074,"8,3","10,0","10,0",,,,"9,4",0,AM
8,DC/CCN044,"10,0","9,5","8,5",,,,"9,3",0,AM
8,DC/CCN040,"7,6","7,7","8,2",,,,"7,8",8,AM
8,DC/CCN038,"8,5","9,8","10,0",,,,"9,4",8,AM
8,DC/CCN030,"9,8","7,8","9,0",,,,"8,9",4,AM
8,DC/CCN067,"7,9","10,0","9,1",,,,"9,0",4,AM
8,DC/CCN045,"8,0","3,6","6,4",,,"5,4","5,7",2,RN
8,DC/CCN032,"10,0","10,0","10,0",,,,"10,0",2,AM
8,DC/CCN041,"9,3","8,5","7,0",,,,"8,3",0,AM
8,DC/CCN034,"9,0","7,0","10,0",,,,"8,7",0,AM
8,DMAT/CCN034,"7,8","5,5","6,5",,,"6,4","6,5",0,AM
8,DC/CCN039,"7,4","9,0","3,5",,,"5,6","6,1",3,AM
8,DC/CCN036,"6,7","8,5","6,7",,,,"7,3",2,AM
8,DC/CCN035,"5,1","6,8","6,0",,,"2,6","4,3",2,RN
8,DC/CCN033,"6,9","2,3","8,4",,,"1,5","3,7",8,RN
8,DMAT/CCN034,"5,2","0,0","3,5",,,,"2,9",0,RN
8,DC/CCN031,"5,5","8,0","7,5",,,,"7,0",2,AM
8,DC/CCN025,"9,5","10,0","9,0",,,,"9,5",0,AM
8,CLE/CCHL002,"10,0","9,8","10,0",,,,"9,9",2,AM
8,DC/CCN028,"10,0","10,0","9,5",,,,"9,8",0,AM
8,DC/CCN022,"9,0","8,9","9,0",,,,"9,0",0,AM
8,DC/CCN027,"10,0","9,2","9,6",,,,"9,6",0,AM
8,DC/CCN024,"7,7","6,8","8,8",,,,"7,8",0,AM
8,CGBEST/CCN013,"9,0","8,9","9,0",,,,"9,0",0,AM
8,DC/CCN023,"6,0","6,0","4,0",,,"6,5","5,9",2,RN
8,DMAT/CCN033,"9,2","9,3","9,4",,,,"9,3",0,AM
8,DC/CCN029,"9,5","9,5","8,4",,,,"9,1",4,AM
8,DMAT/CCN035,"7,0","7,0","8,0",,,,"7,3",0,AM
8,DC/CCN026,"7,3","6,1","3,7",,,"6,6","6,2",0,AM
8,DC/CCN020,"10,0",,,,,,"10,0",0,AM
8,DC/CCN026,"0,0","0,0","0,0",,,,"0,0",0,RN
8,DMAT/CCN032,"8,0","10,0","10,0",,,,"9,3",0,AM
8,DC/CCN021,"9,0","9,0","9,0",,,,"9,0",0,AM
8,DC/CCN019,"10,0","9,5","9,8",,,,"9,8",0,AM
8,DFIL/CCHL009,"10,0","8,0","10,0",,,,"9,3",0,AM
9,DC/CCN061,"8,6","10,0","9,5",,,,"9,4",2,AM
9,DC/CCN071,"9,5","9,2","9,0",,,,"9,2",2,AM
9,DC/CCN049,"10,0","10,0","10,0",,,,"10,0",0,AM
9,DC/CCN047,"10,0","10,0","10,0","10,0","10,0",,"10,0",0,AM
9,DC/CCN057,"10,0","8,0","10,0",,,,"9,3",0,AM
9,DC/CCN046,"10,0","10,0","10,0",,,,"10,0",0,AM
9,DC/CCN042,"9,0","8,2","8,8",,,,"8,7",7,AM
9,DC/CCN055,"10,0","9,5","5,8",,,,"8,4",0,AM
9,DC/CCN058,"10,0","10,0","10,0",,,,"10,0",4,AM
9,DC/CCN067,"10,0","5,0","9,0",,,,"8,0",2,AM
9,DC/CCN074,"10,0","10,0","10,0",,,,"10,0",2,AM
9,DC/CCN045,"4,5","10,0","10,0",,,,"8,2",2,AM
9,DC/CCN044,"9,4","8,1","7,4",,,,"8,3",0,AM
9,DC/CCN048,"9,5","10,0","10,0",,,,"9,8",2,AM
9,DC/CCN081,"8,0","10,0","9,0",,,,"9,0",2,AM
9,DC/CCN032,"8,1","9,9","10,0",,,,"9,3",6,AM
9,DC/CCN039,"9,9","9,5","8,3",,,,"9,2",2,AM
9,DC/CCN041,"8,3","5,0","9,3",,,,"7,5",2,AM
9,DC/CCN040,"8,2","6,2","8,6",,,,"7,7",4,AM
9,DC/CCN038,"8,9","6,0","8,9",,,,"7,9",2,AM
9,DC/CCN030,"9,1","4,9","7,4",,,,"7,1",4,AM
9,CGBEST/CCN013,"9,3","8,9","9,3",,,,"9,2",0,AM
9,DC/CCN037,"9,2","7,6","6,8",,,,"7,9",0,AM
9,DC/CCN034,"9,0","5,0","10,0",,,,"8,0",0,AM
9,DC/CCN036,"9,4","9,9","9,1",,,,"9,5",0,AM
9,DC/CCN035,"10,0","9,5","9,0",,,,"9,5",0,AM
9,DC/CCN033,"8,9","8,2","8,6",,,,"8,6",0,AM
9,DMAT/CCN034,"9,0","9,6","8,0",,,,"8,9",0,AM
9,DC/CCN031,"8,5","8,5","10,0",,,,"9,0",0,AM
9,DC/CCN025,"8,0","10,0","10,0",,,,"9,3",0,AM
9,DC/CCN027,"8,5","10,0","10,0",,,,"9,5",0,AM
9,DC/CCN043,"8,0","8,2","7,7",,,,"8,0",0,AM
9,DMAT/CCN035,"7,0","7,0","8,0",,,,"7,3",0,AM
9,DC/CCN028,"10,0","10,0","8,5",,,,"9,5",0,AM
9,DC/CCN026,"9,0","9,2","9,6",,,,"9,3",0,AM
9,DMAT/CCN033,"7,6","7,0","10,0",,,,"8,2",0,AM
9,DC/CCN029,"10,0","9,5","9,4",,,,"9,6",0,AM
9,DC/CCN022,"9,9","10,0","10,0",,,,"10,0",2,AM
9,DC/CCN024,"9,5","9,5","10,0",,,,"9,7",0,AM
9,DC/CCN023,"9,3","10,0","10,0",,,,"9,8",0,AM
9,DMAT/CCN032,"7,2","9,6","8,5",,,,"8,4",0,AM
9,DC/CCN021,"9,0","9,0","9,0",,,,"9,0",0,AM
9,CLE/CCHL002,"9,6","8,2","7,3",,,,"8,4",0,AM
9,DC/CCN019,"10,0","10,0","10,0",,,,"10,0",1,AM
9,DFIL/CCHL009,"10,0","7,5","7,5",,,,"8,3",0,AM
